Isolate,Species,Concentration,Rep,Trial,Oomicides,mean_colony_diam,relative_growth,percent_relative_growth
515-SCR-F-E-1,S. parasitica,0,1,1,Ethaboxam,26.0,1.05,104.70
515-SCR-F-E-1,S. parasitica,0,1,2,Ethaboxam,32.0,1.03,102.67
515-SCR-F-E-1,S. parasitica,0,1,3,Ethaboxam,27.5,1.01,100.61
515-SCR-F-E-1,S. parasitica,0,2,1,Ethaboxam,23.0,0.93,92.62
515-SCR-F-E-1,S. parasitica,0,2,2,Ethaboxam,31.0,0.99,99.47
515-SCR-F-E-1,S. parasitica,0,2,3,Ethaboxam,27.5,1.01,100.61
515-SCR-F-E-1,S. parasitica,0,3,1,Ethaboxam,25.5,1.03,102.68
515-SCR-F-E-1,S. parasitica,0,3,2,Ethaboxam,30.5,0.98,97.86
515-SCR-F-E-1,S. parasitica,0,3,3,Ethaboxam,27.0,0.99,98.78
515-SCR-F-E-1,S. parasitica,5,1,1,Ethaboxam,0.0,0.00,0.00
515-SCR-F-E-1,S. parasitica,5,1,2,Ethaboxam,0.0,0.00,0.00
515-SCR-F-E-1,S. parasitica,5,1,3,Ethaboxam,2.5,0.09,9.15
515-SCR-F-E-1,S. parasitica,5,2,1,Ethaboxam,0.0,0.00,0.00
515-SCR-F-E-1,S. parasitica,5,2,2,Ethaboxam,0.0,0.00,0.00
515-SCR-F-E-1,S. parasitica,5,2,3,Ethaboxam,2.0,0.07,7.32
515-SCR-F-E-1,S. parasitica,5,3,1,Ethaboxam,0.0,0.00,0.00
515-SCR-F-E-1,S. parasitica,5,3,2,Ethaboxam,0.0,0.00,0.00
515-SCR-F-E-1,S. parasitica,5,3,3,Ethaboxam,0.0,0.00,0.00
515-SCR-F-E-1,S. parasitica,100,1,1,Ethaboxam,0.0,0.00,0.00
515-SCR-F-E-1,S. parasitica,100,1,2,Ethaboxam,0.0,0.00,0.00
515-SCR-F-E-1,S. parasitica,100,1,3,Ethaboxam,0.0,0.00,0.00
515-SCR-F-E-1,S. parasitica,100,2,1,Ethaboxam,0.0,0.00,0.00
515-SCR-F-E-1,S. parasitica,100,2,2,Ethaboxam,0.0,0.00,0.00
515-SCR-F-E-1,S. parasitica,100,2,3,Ethaboxam,0.0,0.00,0.00
515-SCR-F-E-1,S. parasitica,100,3,1,Ethaboxam,0.0,0.00,0.00
515-SCR-F-E-1,S. parasitica,100,3,2,Ethaboxam,0.0,0.00,0.00
515-SCR-F-E-1,S. parasitica,100,3,3,Ethaboxam,0.0,0.00,0.00
529-1E-A1,S. parasitica,0,1,1,Ethaboxam,68.0,1.00,100.49
529-1E-A1,S. parasitica,0,1,2,Ethaboxam,76.0,1.01,101.11
529-1E-A1,S. parasitica,0,1,3,Ethaboxam,70.5,0.99,98.60
529-1E-A1,S. parasitica,0,2,1,Ethaboxam,67.5,1.00,99.75
529-1E-A1,S. parasitica,0,2,2,Ethaboxam,75.5,1.00,100.44
529-1E-A1,S. parasitica,0,2,3,Ethaboxam,73.5,1.03,102.80
529-1E-A1,S. parasitica,0,3,1,Ethaboxam,67.5,1.00,99.75
529-1E-A1,S. parasitica,0,3,2,Ethaboxam,74.0,0.98,98.45
529-1E-A1,S. parasitica,0,3,3,Ethaboxam,70.5,0.99,98.60
529-1E-A1,S. parasitica,5,1,1,Ethaboxam,7.0,0.10,10.34
529-1E-A1,S. parasitica,5,1,2,Ethaboxam,9.5,0.13,12.64
529-1E-A1,S. parasitica,5,1,3,Ethaboxam,11.5,0.16,16.08
529-1E-A1,S. parasitica,5,2,1,Ethaboxam,7.0,0.10,10.34
529-1E-A1,S. parasitica,5,2,2,Ethaboxam,9.0,0.12,11.97
529-1E-A1,S. parasitica,5,2,3,Ethaboxam,12.5,0.17,17.48
529-1E-A1,S. parasitica,5,3,1,Ethaboxam,6.5,0.10,9.61
529-1E-A1,S. parasitica,5,3,2,Ethaboxam,8.5,0.11,11.31
529-1E-A1,S. parasitica,5,3,3,Ethaboxam,9.5,0.13,13.29
529-1E-A1,S. parasitica,100,1,1,Ethaboxam,0.0,0.00,0.00
529-1E-A1,S. parasitica,100,1,2,Ethaboxam,3.5,0.05,4.66
529-1E-A1,S. parasitica,100,1,3,Ethaboxam,4.0,0.06,5.59
529-1E-A1,S. parasitica,100,2,1,Ethaboxam,0.0,0.00,0.00
529-1E-A1,S. parasitica,100,2,2,Ethaboxam,5.0,0.07,6.65
529-1E-A1,S. parasitica,100,2,3,Ethaboxam,4.0,0.06,5.59
529-1E-A1,S. parasitica,100,3,1,Ethaboxam,0.0,0.00,0.00
529-1E-A1,S. parasitica,100,3,2,Ethaboxam,4.5,0.06,5.99
529-1E-A1,S. parasitica,100,3,3,Ethaboxam,32.0,0.45,44.76
529-B-E-A2,S. ferax,0,1,1,Ethaboxam,60.5,1.01,100.83
529-B-E-A2,S. ferax,0,1,2,Ethaboxam,68.0,1.01,100.99
529-B-E-A2,S. ferax,0,1,3,Ethaboxam,63.5,1.02,101.87
529-B-E-A2,S. ferax,0,2,1,Ethaboxam,61.0,1.02,101.67
529-B-E-A2,S. ferax,0,2,2,Ethaboxam,67.5,1.00,100.25
529-B-E-A2,S. ferax,0,2,3,Ethaboxam,62.0,0.99,99.47
529-B-E-A2,S. ferax,0,3,1,Ethaboxam,58.5,0.98,97.50
529-B-E-A2,S. ferax,0,3,2,Ethaboxam,66.5,0.99,98.76
529-B-E-A2,S. ferax,0,3,3,Ethaboxam,61.5,0.99,98.66
529-B-E-A2,S. ferax,5,1,1,Ethaboxam,5.5,0.09,9.17
529-B-E-A2,S. ferax,5,1,2,Ethaboxam,4.0,0.06,5.94
529-B-E-A2,S. ferax,5,1,3,Ethaboxam,6.0,0.10,9.63
529-B-E-A2,S. ferax,5,2,1,Ethaboxam,5.0,0.08,8.33
529-B-E-A2,S. ferax,5,2,2,Ethaboxam,4.5,0.07,6.68
529-B-E-A2,S. ferax,5,2,3,Ethaboxam,5.5,0.09,8.82
529-B-E-A2,S. ferax,5,3,1,Ethaboxam,4.5,0.08,7.50
529-B-E-A2,S. ferax,5,3,2,Ethaboxam,3.5,0.05,5.20
529-B-E-A2,S. ferax,5,3,3,Ethaboxam,6.0,0.10,9.63
529-B-E-A2,S. ferax,100,1,1,Ethaboxam,0.0,0.00,0.00
529-B-E-A2,S. ferax,100,1,2,Ethaboxam,2.0,0.03,2.97
529-B-E-A2,S. ferax,100,1,3,Ethaboxam,0.0,0.00,0.00
529-B-E-A2,S. ferax,100,2,1,Ethaboxam,0.0,0.00,0.00
529-B-E-A2,S. ferax,100,2,2,Ethaboxam,0.0,0.00,0.00
529-B-E-A2,S. ferax,100,2,3,Ethaboxam,0.0,0.00,0.00
529-B-E-A2,S. ferax,100,3,1,Ethaboxam,0.0,0.00,0.00
529-B-E-A2,S. ferax,100,3,2,Ethaboxam,1.0,0.01,1.49
529-B-E-A2,S. ferax,100,3,3,Ethaboxam,0.0,0.00,0.00
529-H-L-A4,S. ferax,0,1,1,Ethaboxam,54.5,0.98,98.49
529-H-L-A4,S. ferax,0,1,2,Ethaboxam,64.5,1.00,99.74
529-H-L-A4,S. ferax,0,1,3,Ethaboxam,30.5,0.63,63.10
529-H-L-A4,S. ferax,0,2,1,Ethaboxam,54.0,0.98,97.59
529-H-L-A4,S. ferax,0,2,2,Ethaboxam,65.0,1.01,100.52
529-H-L-A4,S. ferax,0,2,3,Ethaboxam,59.0,1.22,122.07
529-H-L-A4,S. ferax,0,3,1,Ethaboxam,57.5,1.04,103.92
529-H-L-A4,S. ferax,0,3,2,Ethaboxam,64.5,1.00,99.74
529-H-L-A4,S. ferax,0,3,3,Ethaboxam,55.5,1.15,114.83
529-H-L-A4,S. ferax,5,1,1,Ethaboxam,0.0,0.00,0.00
529-H-L-A4,S. ferax,5,1,2,Ethaboxam,6.5,0.10,10.05
529-H-L-A4,S. ferax,5,1,3,Ethaboxam,28.0,0.58,57.93
529-H-L-A4,S. ferax,5,2,1,Ethaboxam,1.5,0.03,2.71
529-H-L-A4,S. ferax,5,2,2,Ethaboxam,5.0,0.08,7.73
529-H-L-A4,S. ferax,5,2,3,Ethaboxam,1.5,0.03,3.10
529-H-L-A4,S. ferax,5,3,1,Ethaboxam,0.0,0.00,0.00
529-H-L-A4,S. ferax,5,3,2,Ethaboxam,7.0,0.11,10.82
529-H-L-A4,S. ferax,5,3,3,Ethaboxam,1.5,0.03,3.10
529-H-L-A4,S. ferax,100,1,1,Ethaboxam,0.0,0.00,0.00
529-H-L-A4,S. ferax,100,1,2,Ethaboxam,2.5,0.04,3.87
529-H-L-A4,S. ferax,100,1,3,Ethaboxam,0.0,0.00,0.00
529-H-L-A4,S. ferax,100,2,1,Ethaboxam,0.0,0.00,0.00
529-H-L-A4,S. ferax,100,2,2,Ethaboxam,2.5,0.04,3.87
529-H-L-A4,S. ferax,100,2,3,Ethaboxam,0.0,0.00,0.00
529-H-L-A4,S. ferax,100,3,1,Ethaboxam,0.0,0.00,0.00
529-H-L-A4,S. ferax,100,3,2,Ethaboxam,1.0,0.02,1.55
529-H-L-A4,S. ferax,100,3,3,Ethaboxam,0.0,0.00,0.00
FE-18-1,S. ferax,0,1,1,Ethaboxam,67.5,1.00,99.51
FE-18-1,S. ferax,0,1,2,Ethaboxam,73.5,1.00,99.77
FE-18-1,S. ferax,0,1,3,Ethaboxam,60.5,1.13,113.44
FE-18-1,S. ferax,0,2,1,Ethaboxam,67.5,1.00,99.51
FE-18-1,S. ferax,0,2,2,Ethaboxam,74.0,1.00,100.45
FE-18-1,S. ferax,0,2,3,Ethaboxam,66.5,1.25,124.69
FE-18-1,S. ferax,0,3,1,Ethaboxam,68.5,1.01,100.98
FE-18-1,S. ferax,0,3,2,Ethaboxam,73.5,1.00,99.77
FE-18-1,S. ferax,0,3,3,Ethaboxam,33.0,0.62,61.88
FE-18-1,S. ferax,5,1,1,Ethaboxam,3.5,0.05,5.16
FE-18-1,S. ferax,5,1,2,Ethaboxam,3.5,0.05,4.75
FE-18-1,S. ferax,5,1,3,Ethaboxam,3.0,0.06,5.63
FE-18-1,S. ferax,5,2,1,Ethaboxam,4.0,0.06,5.90
FE-18-1,S. ferax,5,2,2,Ethaboxam,3.0,0.04,4.07
FE-18-1,S. ferax,5,2,3,Ethaboxam,2.5,0.05,4.69
FE-18-1,S. ferax,5,3,1,Ethaboxam,3.0,0.04,4.42
FE-18-1,S. ferax,5,3,2,Ethaboxam,3.0,0.04,4.07
FE-18-1,S. ferax,5,3,3,Ethaboxam,1.0,0.02,1.88
FE-18-1,S. ferax,100,1,1,Ethaboxam,0.0,0.00,0.00
FE-18-1,S. ferax,100,1,2,Ethaboxam,1.5,0.02,2.04
FE-18-1,S. ferax,100,1,3,Ethaboxam,1.0,0.02,1.88
FE-18-1,S. ferax,100,2,1,Ethaboxam,0.0,0.00,0.00
FE-18-1,S. ferax,100,2,2,Ethaboxam,2.5,0.03,3.39
FE-18-1,S. ferax,100,2,3,Ethaboxam,1.0,0.02,1.88
FE-18-1,S. ferax,100,3,1,Ethaboxam,0.0,0.00,0.00
FE-18-1,S. ferax,100,3,2,Ethaboxam,2.0,0.03,2.71
FE-18-1,S. ferax,100,3,3,Ethaboxam,0.0,0.00,0.00
GI-331-E-1,S. parasitica,0,1,1,Ethaboxam,23.5,0.95,94.63
GI-331-E-1,S. parasitica,0,1,2,Ethaboxam,29.5,1.00,100.00
GI-331-E-1,S. parasitica,0,1,3,Ethaboxam,na,na,na
GI-331-E-1,S. parasitica,0,2,1,Ethaboxam,27.0,1.09,108.72
GI-331-E-1,S. parasitica,0,2,2,Ethaboxam,29.5,1.00,100.00
GI-331-E-1,S. parasitica,0,2,3,Ethaboxam,23.5,1.00,100.00
GI-331-E-1,S. parasitica,0,3,1,Ethaboxam,24.0,0.97,96.64
GI-331-E-1,S. parasitica,0,3,2,Ethaboxam,29.5,1.00,100.00
GI-331-E-1,S. parasitica,0,3,3,Ethaboxam,23.5,1.00,100.00
GI-331-E-1,S. parasitica,5,1,1,Ethaboxam,0.0,0.00,0.00
GI-331-E-1,S. parasitica,5,1,2,Ethaboxam,0.0,0.00,0.00
GI-331-E-1,S. parasitica,5,1,3,Ethaboxam,0.0,0.00,0.00
GI-331-E-1,S. parasitica,5,2,1,Ethaboxam,0.0,0.00,0.00
GI-331-E-1,S. parasitica,5,2,2,Ethaboxam,0.0,0.00,0.00
GI-331-E-1,S. parasitica,5,2,3,Ethaboxam,0.0,0.00,0.00
GI-331-E-1,S. parasitica,5,3,1,Ethaboxam,0.0,0.00,0.00
GI-331-E-1,S. parasitica,5,3,2,Ethaboxam,0.0,0.00,0.00
GI-331-E-1,S. parasitica,5,3,3,Ethaboxam,0.0,0.00,0.00
GI-331-E-1,S. parasitica,100,1,1,Ethaboxam,0.0,0.00,0.00
GI-331-E-1,S. parasitica,100,1,2,Ethaboxam,0.0,0.00,0.00
GI-331-E-1,S. parasitica,100,1,3,Ethaboxam,0.0,0.00,0.00
GI-331-E-1,S. parasitica,100,2,1,Ethaboxam,0.0,0.00,0.00
GI-331-E-1,S. parasitica,100,2,2,Ethaboxam,0.0,0.00,0.00
GI-331-E-1,S. parasitica,100,2,3,Ethaboxam,0.0,0.00,0.00
GI-331-E-1,S. parasitica,100,3,1,Ethaboxam,0.0,0.00,0.00
GI-331-E-1,S. parasitica,100,3,2,Ethaboxam,0.0,0.00,0.00
GI-331-E-1,S. parasitica,100,3,3,Ethaboxam,0.0,0.00,0.00
KSSO5-45,Py. ult. var. ult.,0,1,1,Ethaboxam,33.5,1.00,99.50
KSSO5-45,Py. ult. var. ult.,0,1,2,Ethaboxam,37.5,1.00,100.45
KSSO5-45,Py. ult. var. ult.,0,1,3,Ethaboxam,45.5,1.04,103.80
KSSO5-45,Py. ult. var. ult.,0,2,1,Ethaboxam,34.0,1.01,100.99
KSSO5-45,Py. ult. var. ult.,0,2,2,Ethaboxam,36.5,0.98,97.77
KSSO5-45,Py. ult. var. ult.,0,2,3,Ethaboxam,45.5,1.04,103.80
KSSO5-45,Py. ult. var. ult.,0,3,1,Ethaboxam,33.5,1.00,99.50
KSSO5-45,Py. ult. var. ult.,0,3,2,Ethaboxam,38.0,1.02,101.79
KSSO5-45,Py. ult. var. ult.,0,3,3,Ethaboxam,40.5,0.92,92.40
KSSO5-45,Py. ult. var. ult.,5,1,1,Ethaboxam,6.5,0.19,19.31
KSSO5-45,Py. ult. var. ult.,5,1,2,Ethaboxam,13.5,0.36,36.16
KSSO5-45,Py. ult. var. ult.,5,1,3,Ethaboxam,6.0,0.14,13.69
KSSO5-45,Py. ult. var. ult.,5,2,1,Ethaboxam,8.5,0.25,25.25
KSSO5-45,Py. ult. var. ult.,5,2,2,Ethaboxam,9.5,0.25,25.45
KSSO5-45,Py. ult. var. ult.,5,2,3,Ethaboxam,8.0,0.18,18.25
KSSO5-45,Py. ult. var. ult.,5,3,1,Ethaboxam,7.0,0.21,20.79
KSSO5-45,Py. ult. var. ult.,5,3,2,Ethaboxam,9.5,0.25,25.45
KSSO5-45,Py. ult. var. ult.,5,3,3,Ethaboxam,5.5,0.13,12.55
KSSO5-45,Py. ult. var. ult.,100,1,1,Ethaboxam,3.0,0.09,8.91
KSSO5-45,Py. ult. var. ult.,100,1,2,Ethaboxam,4.5,0.12,12.05
KSSO5-45,Py. ult. var. ult.,100,1,3,Ethaboxam,3.5,0.08,7.98
KSSO5-45,Py. ult. var. ult.,100,2,1,Ethaboxam,1.5,0.04,4.46
KSSO5-45,Py. ult. var. ult.,100,2,2,Ethaboxam,5.0,0.13,13.39
KSSO5-45,Py. ult. var. ult.,100,2,3,Ethaboxam,3.5,0.08,7.98
KSSO5-45,Py. ult. var. ult.,100,3,1,Ethaboxam,3.0,0.09,8.91
KSSO5-45,Py. ult. var. ult.,100,3,2,Ethaboxam,4.0,0.11,10.71
KSSO5-45,Py. ult. var. ult.,100,3,3,Ethaboxam,3.5,0.08,7.98
